ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1761498113.376181,0.0007057500001792505,S1_start,S1_start,0.0,0.0,0.0,0,0.0,,,
1761498113.3983948,0.022918458000276587,init_done,init_startup,0.0,0.0,0.0,35,0.05092620849609375,22.0948330002102,,
1761498113.4810429,0.10556641599987415,,play,9.523809523809524,59.1,140.853248,35,0.0534,,,
1761498114.499089,1.1235989159999917,,play,24.600778077598758,8.9,142.70464,35,0.0534,,,
1761498115.519862,2.144357832999958,,play,28.226489715065593,11.2,143.7696,35,0.0534,,,
1761498116.54202,3.1665026660002695,,play,29.113313465116,12.8,143.900672,35,0.0534,,,
1761498117.56103,4.18549800000028,,play,29.377111358672742,10.9,143.917056,35,0.0534,,,
1761498118.5773718,5.20182716599993,,play,29.4626993827626,11.3,143.93344,35,0.0534,,,
1761498119.606271,6.230711166000219,,play,27.96005553468205,21.3,159.956992,35,0.0534,,,
1761498120.6288378,7.25326508299986,,play,29.030856608144664,10.9,160.006144,35,0.0534,,,
1761498121.648617,8.273030958000163,,play,29.31813868318499,11.7,160.120832,41,0.0606,,,
1761498122.667893,9.292292707999877,,play,29.42197322929154,11.9,160.31744,41,0.0606,,,
1761498123.6864781,10.310864750000292,,play,29.429062351826985,11.6,160.595968,41,0.0606,,,
1761498124.707631,11.332002458000261,,play,29.405820041807836,11.8,160.858112,41,0.0606,,,
1761498125.728118,12.352476416000172,,play,29.410319179151656,12.2,160.874496,41,0.0606,,,
1761498126.746233,13.370577291000245,,play,29.437489264423014,12.3,160.89088,41,0.0606,,,
1761498127.767168,14.391498291000062,,play,29.418019985665996,11.4,160.907264,41,0.0606,,,
1761498128.7865868,15.410902458000237,,play,29.43327890894842,11.1,160.89088,41,0.0606,,,
1761498129.8080451,16.432347333000052,,play,29.399128481811093,12.4,161.087488,41,0.0606,,,
1761498130.828526,17.4528150000001,,play,29.37725264558262,12.6,161.087488,41,0.0606,,,
1761498131.84572,18.469994915999905,,play,29.420231200286366,12.1,161.103872,41,0.0606,,,
1761498132.867172,19.491433874999984,,play,29.40200433228173,11.7,161.13664,41,0.0606,,,
1761498133.88361,20.50785783299989,,play,29.46910736465474,11.7,161.153024,41,0.0606,,,
1761498134.8014,21.42563466599995,S1_end_reset_done,S1_end_reset_done,29.452596905764974,12.6,161.13664,41,0.05779266357421875,,0.15741600009278045,
1761498134.902467,21.52670041600004,,play,29.4472127811819,11.0,161.13664,41,0.0606,,,
1761498135.921373,22.5455932079999,,play,29.44905067242419,9.7,161.13664,41,0.0606,,,
1761498136.939415,23.56362179100006,,play,29.454673274862667,9.7,161.13664,41,0.0606,,,
1761498137.9583611,24.58255379100001,,play,29.41451881735908,10.9,161.13664,41,0.0606,,,
1761498138.9788759,25.603054832999987,,play,29.41243440592075,10.8,161.13664,41,0.0606,,,
1761498139.99556,26.6197259999999,,play,29.46380364918137,11.4,161.13664,41,0.0606,,,
1761498141.014125,27.638276208000207,,play,29.464792225600043,11.3,161.13664,41,0.0606,,,
1761498142.035267,28.659404416000143,,play,29.403075065094388,11.5,161.13664,41,0.0606,,,
1761498143.05318,29.677304875000118,,play,29.45719130695728,9.4,161.13664,41,0.0606,,,
1761498144.071452,30.695562124999924,,play,29.435684902885328,9.2,161.13664,41,0.0606,,,
