ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1761498409.831578,0.0005009169999539154,S1_start,S1_start,0.0,0.0,0.0,0,0.0,,,
1761498409.853856,0.022778374999688822,init_done,init_startup,0.0,0.0,0.0,35,0.05092620849609375,22.17170799985979,,
1761498409.922035,0.09095683299983648,,play,10.989010989010989,67.4,140.509184,35,0.0534,,,
1761498410.940363,1.1092718330000935,,play,24.943173568854803,9.2,142.917632,35,0.0534,,,
1761498411.9608982,2.1297935829998096,,play,28.342336435460755,9.9,142.966784,35,0.0534,,,
1761498412.980986,3.1498672499997156,,play,29.15171853135032,11.0,143.065088,35,0.0534,,,
1761498413.999128,4.1679951669998445,,play,29.41144082184385,11.3,143.065088,35,0.0534,,,
1761498415.0188742,5.187728542000059,,play,28.81800168757896,10.3,159.858688,35,0.0534,,,
1761498416.0386188,6.207460749999882,,play,29.281014124073234,12.0,159.940608,36,0.0546,,,
1761498417.0583491,7.22717587499983,,play,29.384894300652952,11.9,160.202752,41,0.0606,,,
1761498418.077734,8.246547666999959,,play,29.419351648462005,12.2,160.464896,41,0.0606,,,
1761498419.100124,9.268923207999705,,play,29.356978050963548,12.4,160.48128,41,0.0606,,,
1761498420.119849,10.288634125000044,,play,29.398442578142614,11.3,160.497664,41,0.0606,,,
1761498421.137928,11.306700624999849,,play,29.50885637254562,13.2,160.5632,41,0.0606,,,
1761498422.157741,12.32650058299987,,play,29.444722962620176,12.1,160.546816,41,0.0606,,,
1761498423.179113,13.347857249999834,,play,29.39606980405361,11.9,160.5632,41,0.0606,,,
1761498424.197261,14.365993291999985,,play,29.46563783496489,12.1,160.5632,41,0.0606,,,
1761498425.217676,15.386392249999972,,play,29.412005452093553,11.9,160.595968,41,0.0606,,,
1761498426.23857,16.407273499999974,,play,29.388776816897884,11.8,160.595968,41,0.0606,,,
1761498427.258971,17.427660082999864,,play,29.406174884894522,11.7,160.595968,41,0.0606,,,
1761498428.280064,18.448740457999975,,play,29.374187800432,11.9,160.595968,41,0.0606,,,
1761498428.281541,18.450215957999717,S1_end_reset_done,S1_end_reset_done,29.374187800432,11.9,160.595968,41,0.05779266357421875,,0.16087499989225762,
1761498429.299034,19.467696416999843,,play,29.43562124915321,9.8,160.595968,41,0.0606,,,
1761498430.318926,20.487575207999726,,play,29.4259004194335,10.1,160.595968,41,0.0606,,,
1761498431.337416,21.506051124999885,,play,29.427473514777827,10.7,160.595968,41,0.0606,,,
1761498432.3555179,22.524139749999904,,play,29.454913476660607,11.0,160.595968,41,0.0606,,,
1761498433.37658,23.545186957999704,,play,29.398544334721333,12.0,160.595968,41,0.0606,,,
1761498434.394958,24.563551624999945,,play,29.448752739644572,12.5,160.595968,41,0.0606,,,
1761498435.415613,25.584193416999824,,play,29.407905297181667,12.4,160.743424,41,0.0606,,,
1761498436.435862,26.604427999999643,,play,29.410826237640652,11.4,160.841728,41,0.0606,,,
1761498437.457888,27.626440042000013,,play,29.358671379838594,11.4,160.841728,41,0.0606,,,
1761498438.481086,28.649624499999845,,play,29.334640181623552,11.3,160.841728,41,0.0606,,,
1761498439.5034199,29.671946166999987,,play,29.343739750537953,11.4,160.907264,41,0.0606,,,
1761498440.52095,30.689461292000033,,play,29.447864445532936,12.2,160.89088,41,0.0606,,,
1761498441.540046,31.708544249999704,,play,29.43225701200061,12.1,160.89088,41,0.0606,,,
1761498442.558662,32.72714641699986,,play,29.42604915598249,11.5,160.89088,41,0.0606,,,
1761498443.573657,33.74212699999998,,play,29.511696303876533,12.0,160.89088,41,0.0606,,,
1761498444.596224,34.764681582999856,,play,29.407510545977058,12.4,160.89088,41,0.0606,,,
1761498445.613974,35.782417707999684,,play,29.466677081585956,12.5,160.89088,41,0.0606,,,
1761498446.634985,36.80341441699966,,play,29.41334698489603,12.8,160.89088,41,0.0606,,,
1761498447.6546948,37.82311020799989,,play,29.41214945876006,12.9,161.038336,41,0.0606,,,
1761498448.674963,38.84336483299967,,play,29.41185826382986,12.3,160.989184,41,0.0606,,,
1761498449.6954849,39.86387312499983,,play,29.41178745578248,12.4,160.956416,41,0.0606,,,
1761498450.7161028,40.88447849999966,,play,29.388125061848104,12.2,160.956416,41,0.0606,,,
1761498451.7375438,41.905904792,,play,29.39709794959795,10.9,160.923648,41,0.0606,,,
1761498452.7562182,42.924565667000024,,play,29.43968025807309,12.6,160.940032,41,0.0606,,,
1761498453.777499,43.94583279199969,,play,29.383771617258528,10.8,160.940032,41,0.0606,,,
1761498454.79708,44.96540049999976,,play,29.40650071176617,11.3,160.940032,41,0.0606,,,
1761498455.818052,45.98635787500007,,play,29.378180944879503,11.2,160.940032,41,0.0606,,,
1761498456.8386629,47.00695524999992,,play,29.403598353059323,11.3,160.940032,41,0.0606,,,
1761498457.8589408,48.02721983299989,,play,29.378338050444494,10.6,160.940032,41,0.0606,,,
1761498458.472664,48.640932667000015,S2_end_reset_done,S2_end_reset_done,29.36747880834379,10.8,160.940032,41,0.05779266357421875,,0.09154100007435773,
