ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1761478273.9690819,0.0007864000003792171,S1_start,S1_start,0.0,0.0,0.0,0,0.0,,,
1761478274.019275,0.051553100000091945,init_done,init_startup,0.0,0.0,0.0,35,0.05092620849609375,49.656599999707396,,
1761478274.0232756,0.0558842000000368,,play,18.181818181818183,24.8,57.212928,35,0.0534,,,
1761478275.0277224,1.0595955000003414,,play,26.948999158482145,0.0,57.81504,35,0.0534,,,
1761478276.0327513,2.0648567000002913,,play,29.122187457291446,3.0,57.819136,35,0.0534,,,
1761478277.0382583,3.07017900000028,,play,29.701891399670604,3.1,57.860096,35,0.0534,,,
1761478278.040734,4.07284030000028,,play,29.849915475399452,0.0,57.933824,35,0.0534,,,
1761478279.043696,5.075797899999998,,play,29.876388356282025,6.2,57.970688,36,0.0546,,,
1761478280.0482183,6.080303400000048,,play,29.905033966487995,3.0,57.987072,41,0.0606,,,
1761478281.055877,7.087987100000191,,play,29.77280987601656,6.2,58.036224,41,0.0606,,,
1761478282.0626545,8.094818300000043,,play,29.807538389890183,0.0,58.093568,41,0.0606,,,
1761478283.0686781,9.100803499999984,,play,29.797566275032324,6.2,58.089472,41,0.0606,,,
1761478284.0755353,10.107603500000096,,play,29.789075387835013,3.1,58.089472,41,0.0606,,,
1761478285.0832226,11.115328800000043,,play,29.784926508542284,3.1,58.089472,41,0.0606,,,
1761478286.1154137,12.14751060000026,,play,29.973200481243133,0.0,58.089472,41,0.0606,,,
1761478287.1181505,13.150442500000281,,play,29.933791057314288,6.2,58.109952,41,0.0606,,,
1761478288.1185687,14.150599100000363,,play,29.93929268805997,0.0,58.118144,41,0.0606,,,
1761478289.1232188,15.155233500000122,,play,29.931090139290475,3.1,58.097664,41,0.0606,,,
1761478290.1551452,16.18716059999997,,play,30.01134850921918,0.0,58.097664,41,0.0606,,,
1761478291.1554117,17.18744689999994,,play,29.951162988623242,0.0,58.097664,41,0.0606,,,
1761478292.1586368,18.19048890000022,,play,29.905640345448607,3.1,58.187776,41,0.0606,,,
1761478293.1628425,19.194841400000314,,play,29.846663072682276,3.1,58.12224,41,0.0606,,,
1761478294.1711586,20.203030500000295,,play,29.747449118464182,3.0,58.12224,41,0.0606,,,
1761478294.9430077,20.97548790000019,S1_end_reset_done,S1_end_reset_done,29.74880884086492,3.1,58.12224,41,0.05779266357421875,,0.10139999994862592,
1761478295.1804087,21.21244700000034,,play,29.65408874331897,3.1,58.12224,41,0.0606,,,
1761478296.1860344,22.21786750000001,,play,29.78847456716842,0.0,58.12224,41,0.0606,,,
1761478297.2183995,23.250421000000188,,play,29.92647950550421,0.0,58.12224,41,0.0606,,,
1761478298.2226355,24.254646800000046,,play,29.899630862276744,6.2,58.12224,41,0.0606,,,
1761478299.2264736,25.258283699999993,,play,29.879727086323236,3.1,58.12224,41,0.0606,,,
1761478300.2318363,26.26378270000032,,play,29.887516036136255,6.1,58.12224,41,0.0606,,,
1761478301.238037,27.27007619999995,,play,29.832937373322093,0.0,58.12224,41,0.0606,,,
1761478302.2462084,28.278104400000302,,play,29.766974941322786,0.0,58.12224,41,0.0606,,,
1761478303.24907,29.281089300000076,,play,29.876054832414145,9.4,58.068992,41,0.0606,,,
1761478304.2510445,30.283042000000023,,play,29.891649661468087,0.0,58.068992,41,0.0606,,,
1761478305.2550602,31.28701910000018,,play,29.918439754067073,0.0,58.068992,41,0.0606,,,
1761478306.2597544,32.29174660000035,,play,29.843014297896538,12.1,58.126336,41,0.0606,,,
1761478307.2632444,33.295249199999944,,play,29.914098529067573,3.1,58.077184,41,0.0606,,,
1761478308.2684207,34.30047620000005,,play,29.861528508820516,6.2,58.056704,41,0.0606,,,
1761478309.3004,35.33233169999994,,play,29.956922374310196,0.0,58.105856,41,0.0606,,,
1761478310.304498,36.336479800000234,,play,29.881367145567776,3.1,58.08128,41,0.0606,,,
1761478311.3110144,37.343022400000336,,play,29.86823018452486,6.2,58.08128,41,0.0606,,,
