ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1761471530.8244727,0.000793299999941155,S1_start,S1_start,0.0,0.0,0.0,0,0.0,,,
1761471530.8731513,0.04964139999992767,init_done,init_startup,0.0,0.0,0.0,0,0.0,48.69059999998626,,
1761471530.8772974,0.05412560000002031,,play,18.867924528301888,33.2,57.237504,0,0.0,,,
1761471532.1245706,1.3011609000000135,,play,17.72368983434965,2.1,57.966592,0,0.0,,,
1761471533.1310587,2.3077138999999534,,play,26.756033630307737,3.0,57.946112,0,0.0,,,
1761471534.1609974,3.337393700000007,,play,29.26307286158143,0.0,57.995264,0,0.0,,,
1761471535.1633048,4.339589599999954,,play,29.697221501917202,0.0,58.064896,0,0.0,,,
1761471536.1679587,5.344321299999933,,play,29.744922965293373,0.0,58.068992,0,0.0,,,
1761471537.1764293,6.3528115999999955,,play,29.7851621594539,0.0,58.068992,0,0.0,,,
1761471538.2072403,7.38361969999994,,play,29.989165725605282,2.9,58.068992,0,0.0,,,
1761471539.2145617,8.39089059999992,,play,29.79325424146606,0.0,58.109952,0,0.0,,,
1761471540.245206,9.421515,,play,29.992987580787233,2.9,58.114048,0,0.0,,,
1761471541.2498796,10.426259500000015,,play,29.858205148539977,0.0,58.175488,0,0.0,,,
1761471542.2631743,11.43946829999993,,play,29.742085460463688,3.0,58.175488,0,0.0,,,
1761471543.2716887,12.44801229999996,,play,29.73864548331404,0.0,58.216448,0,0.0,,,
1761471544.274851,13.451183599999922,,play,29.887428029019254,3.0,58.20416,0,0.0,,,
1761471545.2818327,14.45820859999992,,play,29.767015328202348,0.0,58.18368,0,0.0,,,
1761471546.2864194,15.462734899999987,,play,29.802179845549123,0.0,58.200064,0,0.0,,,
1761471547.318668,16.495025199999986,,play,30.006785625493954,2.9,58.314752,0,0.0,,,
1761471548.3275068,17.503755699999942,,play,29.847653450211094,0.0,58.232832,0,0.0,,,
1761471549.3335464,18.509911999999986,,play,29.81110353294216,6.2,58.232832,0,0.0,,,
1761471550.3372178,19.513534999999933,,play,29.850160858020367,3.1,58.232832,0,0.0,,,
1761471551.3451414,20.521540099999925,,play,29.770888452701016,0.0,58.253312,0,0.0,,,
1761471552.3564498,21.53283160000001,,play,29.69251785670445,0.0,58.253312,0,0.0,,,
1761471553.3659527,22.542276000000015,,play,29.706366556649474,3.1,58.269696,0,0.0,,,
1761471554.3703487,23.54667119999999,,play,29.85794816340918,3.1,58.220544,0,0.0,,,
1761471555.3757937,24.55213279999998,,play,29.84371228707918,0.0,58.220544,0,0.0,,,
1761471556.3836396,25.55994309999994,,play,29.750509041822287,3.1,58.236928,0,0.0,,,
1761471556.4171205,25.593682599999966,S1_end_reset_done,S1_end_reset_done,29.734913100346144,3.1,58.236928,0,,,0.047100000074351556,
1761471557.3944886,26.570826199999942,,play,29.641291829574186,0.0,58.241024,0,0.0,,,
1761471558.404222,27.58059949999995,,play,29.621174145792804,3.0,58.241024,0,0.0,,,
1761471559.4130082,28.589416700000015,,play,29.727441930214344,0.0,58.241024,0,0.0,,,
1761471560.4230244,29.59933789999991,,play,29.727132086423,0.0,58.187776,0,0.0,,,
1761471561.4290042,30.605304299999943,,play,29.786015437107874,0.0,58.187776,0,0.0,,,
1761471562.4396691,31.61598319999996,,play,29.728180647281924,0.0,58.187776,0,0.0,,,
1761471563.4723723,32.64869759999999,,play,29.957807457528656,0.0,58.187776,0,0.0,,,
1761471564.5046518,33.68099989999996,,play,30.006608290337596,0.0,58.22464,0,0.0,,,
1761471565.5156522,34.69187709999994,,play,29.77838263081024,3.0,58.212352,0,0.0,,,
1761471566.5200136,35.69630929999994,,play,29.824324925471103,3.1,58.257408,0,0.0,,,
1761471567.525578,36.70189340000002,,play,29.863209329806697,0.0,58.212352,0,0.0,,,
1761471568.5264564,37.702727799999934,,play,29.971950560638422,0.0,58.212352,0,0.0,,,
1761471569.532507,38.70876469999996,,play,29.89907307767394,0.0,58.212352,0,0.0,,,
1761471570.5663948,39.74261739999997,,play,29.941967469255893,0.0,58.335232,0,0.0,,,
1761471571.572807,40.74901739999996,,play,29.87691132833803,0.0,58.281984,0,0.0,,,
1761471572.5761914,41.75241929999993,,play,29.90670303473274,0.0,58.281984,0,0.0,,,
1761471573.5794728,42.75575649999996,,play,29.942728250697538,3.1,58.257408,0,0.0,,,
1761471574.5831947,43.75943009999992,,play,29.86328752571708,0.0,58.269696,0,0.0,,,
1761471575.589422,44.7656528,,play,29.84664326734201,0.0,58.269696,0,0.0,,,
1761471576.5978546,45.774095699999975,,play,29.79605878124547,0.0,58.269696,0,0.0,,,
1761471577.6056004,46.78187730000002,,play,29.806273894585996,0.0,58.269696,0,0.0,,,
1761471578.6106572,47.78683609999996,,play,29.852048589410657,0.0,58.269696,0,0.0,,,
1761471579.6150224,48.79125190000002,,play,29.80670400328886,0.0,58.269696,0,0.0,,,
1761471580.617987,49.79422479999994,,play,29.922428440347808,0.0,58.269696,0,0.0,,,
1761471581.651114,50.827371200000016,,play,29.925280385787417,0.0,58.28608,0,0.0,,,
1761471582.659435,51.835692199999926,,play,29.81351850015573,0.0,58.515456,0,0.0,,,
1761471583.666138,52.84242619999998,,play,29.77446499029649,0.0,58.503168,0,0.0,,,
1761471584.6696668,53.84587639999995,,play,29.94787886126245,0.0,58.548224,0,0.0,,,
1761471585.67262,54.84878570000001,,play,29.84847378158491,0.0,58.503168,0,0.0,,,
1761471586.679441,55.85565550000001,,play,29.767722548492877,0.0,58.462208,0,0.0,,,
1761471587.6842558,56.86053629999992,,play,29.801365178753127,0.0,58.462208,0,0.0,,,
1761471588.691756,57.867999199999986,,play,29.81151726403401,0.0,58.462208,0,0.0,,,
1761471589.7240162,58.900290699999914,,play,29.935664727934824,3.1,58.462208,0,0.0,,,
1761471590.3255978,59.50202619999993,S2_end_reset_done,S2_end_reset_done,29.938586125290612,0.0,58.462208,0,,,0.04380000007131457,
1761471590.7251618,59.90140759999997,,play,29.959314238468043,6.2,58.462208,0,0.0,,,
1761471591.739446,60.915673399999946,,play,29.732115914923725,0.0,58.462208,0,0.0,,,
1761471592.7545764,61.93087300000002,,play,29.588347701075516,0.0,58.462208,0,0.0,,,
1761471593.755521,62.93175919999999,,play,29.905783414952026,0.0,58.462208,0,0.0,,,
1761471594.7601922,63.936467799999946,,play,29.8669923965822,3.1,58.462208,0,0.0,,,
1761471595.7643685,64.94060979999995,,play,29.913477510127265,3.0,58.462208,0,0.0,,,
