ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1761487085.5712273,0.0008932999990065582,S1_start,S1_start,0.0,0.0,0.0,0,0.0,,,
1761487085.6208212,0.050607099999979255,init_done,init_startup,0.0,0.0,0.0,35,0.05092620849609375,48.74310000013793,,
1761487085.6238248,0.05405609999979788,,play,18.867924528301888,66.5,56.877056,35,0.0534,,,
1761487086.6300566,1.0603642000005493,,play,27.06557564252582,3.1,57.462784,35,0.0534,,,
1761487087.642811,2.0726359999989654,,play,28.947575420451614,0.0,57.462784,35,0.0534,,,
1761487088.650749,3.080885399998806,,play,29.531925697986136,3.1,57.503744,35,0.0534,,,
1761487089.6566825,4.086747100000139,,play,29.72998795805233,3.0,57.581568,35,0.0534,,,
1761487090.6637294,5.0937835999993695,,play,29.74709367402567,0.0,57.581568,35,0.0534,,,
1761487091.6682582,6.098285799998848,,play,29.89336054501206,9.4,57.618432,36,0.0546,,,
1761487092.6707222,7.100573300000178,,play,29.890983320815945,6.2,57.63072,41,0.0606,,,
1761487093.6783564,8.10841629999959,,play,29.80116386560206,6.2,57.688064,41,0.0606,,,
1761487094.6860995,9.115946099998837,,play,29.775593721422528,3.1,57.69216,41,0.0606,,,
1761487095.6894329,10.119475100000273,,play,29.85173250282117,3.0,57.73312,41,0.0606,,,
1761487096.6985424,11.128572100000383,,play,29.74161934234954,0.0,57.7536,41,0.0606,,,
1761487097.703895,12.133657799999128,,play,29.829996129511034,3.1,57.749504,41,0.0606,,,
1761487098.7094073,13.139337000000523,,play,29.7912263053371,2.9,57.73312,41,0.0606,,,
1761487099.7137668,14.143627499999639,,play,29.834006253002215,3.1,57.749504,41,0.0606,,,
1761487100.7240236,15.153881500000352,,play,29.742624920979246,0.0,57.73312,41,0.0606,,,
1761487101.7287483,16.158641500000158,,play,29.829455328986878,3.1,57.749504,41,0.0606,,,
1761487102.7359633,17.165735099999438,,play,29.818007188901547,6.1,57.749504,41,0.0606,,,
1761487103.7449157,18.174852899999678,,play,29.78454271892298,3.1,57.749504,41,0.0606,,,
1761487104.751356,19.181117099999028,,play,29.82962988169527,3.0,57.83552,41,0.0606,,,
1761487105.7522874,20.181965499999933,,play,29.94043242770336,0.0,57.769984,41,0.0606,,,
1761487106.6592805,21.089370699999563,S1_end_reset_done,S1_end_reset_done,29.83492992117253,0.0,57.769984,41,0.05779266357421875,,0.05980000059935264,
1761487106.7607622,21.190565900000365,,play,29.779131452197213,0.0,57.769984,41,0.0606,,,
1761487107.77931,22.2091492999989,,play,29.7093706956781,5.9,57.786368,41,0.0606,,,
1761487108.7831297,23.212892999999895,,play,29.854892075395195,0.0,57.786368,41,0.0606,,,
1761487109.794858,24.224636299999474,,play,29.702032911375355,3.1,57.79456,41,0.0606,,,
1761487110.795684,25.225451199999952,,play,29.85965935101823,0.0,57.798656,41,0.0606,,,
1761487111.801767,26.231682499999806,,play,29.844092919746217,0.0,57.802752,41,0.0606,,,
1761487112.8080318,27.237967600000047,,play,29.826522663456085,3.1,57.802752,41,0.0606,,,
1761487113.819807,28.24966239999958,,play,29.701504471376992,0.0,57.802752,41,0.0606,,,
1761487114.8284152,29.258334699999978,,play,29.738185212245806,3.0,57.802752,41,0.0606,,,
1761487115.8379035,30.267817599999034,,play,29.68673359387303,0.0,57.778176,41,0.0606,,,
1761487116.8481693,31.27802530000008,,play,29.712026576004174,0.0,57.757696,41,0.0606,,,
1761487117.857366,32.28722509999898,,play,29.75922608804799,3.0,57.769984,41,0.0606,,,
1761487118.8692145,33.2990307,,play,29.708728567594108,0.0,57.741312,41,0.0606,,,
1761487119.8752801,34.30516559999887,,play,29.762079276890404,0.0,57.741312,41,0.0606,,,
1761487120.881793,35.311692699999185,,play,29.767032583769844,3.1,57.798656,41,0.0606,,,
1761487121.8860047,36.31589150000036,,play,29.871634514181377,6.1,57.757696,41,0.0606,,,
1761487122.8868396,37.31668439999885,,play,29.952126153846415,3.1,57.761792,41,0.0606,,,
1761487123.895487,38.32522380000046,,play,29.820787848324173,0.0,57.761792,41,0.0606,,,
1761487124.9016974,39.33152229999905,,play,29.817514873949015,0.0,57.761792,41,0.0606,,,
1761487125.9043555,40.33408919999965,,play,29.935953443766817,0.0,57.786368,41,0.0606,,,
