ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1760780260.060825,0.0007200999998531188,S1_start,S1_start,0.0,0.0,0.0,0,0.0,,,
1760780260.1730835,0.11363280000023224,init_done,init_startup,0.0,0.0,0.0,0,0.0,112.79800000011164,,
1760780260.1860714,0.12627139999995052,,play,8.064516129032258,12.5,57.008128,0,0.0,,,
1760780261.194045,1.1340301000000181,,play,24.35326897333134,3.1,57.372672,0,0.0,,,
1760780262.1999662,2.140248700000029,,play,28.458236880912175,0.0,57.376768,0,0.0,,,
1760780263.208826,3.1490828000000874,,play,29.432768144066745,0.0,57.470976,0,0.0,,,
1760780264.2188597,4.159138999999868,,play,29.596376097559936,9.1,57.48736,0,0.0,,,
1760780265.2287943,5.168825900000229,,play,29.700349401389317,3.1,57.48736,0,0.0,,,
1760780266.2378347,6.178147800000261,,play,29.70186500266416,6.1,57.524224,0,0.0,,,
1760780267.2410862,7.1814024000000245,,play,29.845509973161374,0.0,57.532416,0,0.0,,,
1760780268.252029,8.19208639999988,,play,29.698427799837237,0.0,57.593856,0,0.0,,,
1760780269.264866,9.205082800000127,,play,29.64030856564065,0.0,57.56928,0,0.0,,,
1760780270.2778134,10.217914400000154,,play,29.630065373962513,0.0,57.606144,0,0.0,,,
1760780271.2870803,11.227393200000279,,play,29.64084988600011,9.1,57.606144,0,0.0,,,
1760780272.300906,12.240908300000228,,play,29.606372559938404,3.0,57.663488,0,0.0,,,
1760780273.307076,13.247349900000245,,play,29.76298521029103,3.1,57.606144,0,0.0,,,
1760780274.3168886,14.257095100000242,,play,29.70091705601809,6.1,57.6512,0,0.0,,,
1760780275.3278437,15.268120300000191,,play,29.696992273689396,0.0,57.6512,0,0.0,,,
1760780276.34193,16.28220569999985,,play,29.601076532477485,0.0,57.634816,0,0.0,,,
1760780277.3495424,17.289779100000032,,play,29.707118894464408,0.0,57.614336,0,0.0,,,
1760780278.3624394,18.302744600000096,,play,29.60779828954629,0.0,57.634816,0,0.0,,,
1760780279.3732605,19.313385899999957,,play,29.68144810332038,0.0,57.634816,0,0.0,,,
1760780280.3894844,20.329741999999897,,play,29.546844615556896,6.1,57.634816,0,0.0,,,
1760780280.695642,20.636354499999925,S1_end_reset_done,S1_end_reset_done,29.500146009729466,6.1,57.634816,0,,,0.11630000017248676,
1760780281.39991,21.340158500000143,,play,29.688610831975492,0.0,57.643008,0,0.0,,,
1760780282.4018312,22.342105600000195,,play,29.874425360747868,0.0,57.643008,0,0.0,,,
