ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1761496884.582836,0.0005307090000314929,S1_start,S1_start,0.0,0.0,0.0,0,0.0,,,
1761496884.6035142,0.021208417000025293,init_done,init_startup,0.0,0.0,0.0,0,0.0,20.570707999922888,,
1761496884.6503308,0.06802566700002899,,play,14.925373134328357,91.5,141.7216,0,0.0,,,
1761496885.6690502,1.0867517920000864,,play,25.908043568376037,14.0,143.982592,0,0.0,,,
1761496886.691277,2.1089846670000725,,play,28.496145095844238,10.8,144.064512,0,0.0,,,
1761496887.714498,3.1322120420001056,,play,28.45911786583688,22.6,160.31744,0,0.0,,,
1761496888.733238,4.150960459000089,,play,29.196933239320245,11.7,160.382976,0,0.0,,,
1761496889.749043,5.166768667000042,,play,29.472954137260356,12.1,160.39936,0,0.0,,,
1761496890.76897,6.186715917000015,,play,29.442191114332285,10.6,160.628736,0,0.0,,,
1761496891.7887082,7.206447500000081,,play,29.411191352669015,13.6,160.284672,0,0.0,,,
1761496892.809637,8.227381750000063,,play,29.38792742803282,14.0,160.546816,0,0.0,,,
1761496893.825077,9.242828667000026,,play,29.5079600654897,12.0,161.087488,0,0.0,,,
1761496894.843565,10.261323209000011,,play,29.467255422948153,13.9,161.120256,0,0.0,,,
1761496895.862908,11.280676792000008,,play,29.442338352738176,13.2,161.120256,0,0.0,,,
1761496896.8831308,12.300900875000025,,play,29.39189131540128,13.0,161.120256,0,0.0,,,
1761496897.903819,13.321596,,play,29.40693221798904,13.0,161.431552,0,0.0,,,
1761496898.923042,14.340831334000086,,play,29.443594549771085,13.5,161.447936,0,0.0,,,
1761496899.93739,15.355177709000031,,play,29.552454638749136,14.0,161.431552,0,0.0,,,
1761496900.9571772,16.374972084000092,,play,29.435738037283702,11.0,161.431552,0,0.0,,,
1761496901.977361,17.395161834000078,,play,29.422620272526366,11.3,161.447936,0,0.0,,,
1761496902.996822,18.41463141700001,,play,29.45961222041566,13.4,161.579008,0,0.0,,,
1761496904.016672,19.43448683400004,,play,29.402308197698826,13.7,161.595392,0,0.0,,,
1761496905.034442,20.45226204200003,,play,29.49234577752474,14.6,161.595392,0,0.0,,,
1761496905.817725,21.235548917000074,S1_end_reset_done,S1_end_reset_done,29.439018195939237,11.9,161.595392,0,,,0.19558300004973717,
1761496906.054344,21.472169709000013,,play,29.431359100382537,11.9,161.595392,0,0.0,,,
1761496907.0738041,22.491637917000048,,play,29.434420994844608,11.1,161.595392,0,0.0,,,
1761496908.092248,23.51008575000003,,play,29.427440496862047,10.9,161.595392,0,0.0,,,
1761496909.11235,24.530194959000028,,play,29.415576489795107,10.3,161.595392,0,0.0,,,
1761496910.1338,25.551651375000006,,play,29.395652161887664,12.1,161.595392,0,0.0,,,
1761496911.150235,26.568092292000074,,play,29.48602564138215,10.9,161.595392,0,0.0,,,
1761496912.1694221,27.58728558400003,,play,29.453565357618952,11.1,161.595392,0,0.0,,,
1761496913.189603,28.607473500000083,,play,29.442295971100645,11.4,161.595392,0,0.0,,,
